Employee_ID,FeedbackText,sentiment_score,sentiment_label,theme
101,I feel underpaid and I do not see promotion opportunities.,0.0,Neutral,Salary issue
102,My team is supportive and I like my work.,0.5,Positive,Other
103,The workload is too high and work-life balance is difficult.,-0.16999999999999998,Negative,"Workload, Work-life balance"
104,I want an internal transfer because this role no longer fits my goals.,0.0,Neutral,Other
105,Management communication is poor and I feel stressed.,-0.4,Negative,Workload
106,I am happy with my career growth here.,0.8,Positive,Other
107,I'm considering leaving due to stress and salary issues.,-0.125,Negative,"Salary issue, Workload"
108,The company culture is amazing.,0.6000000000000001,Positive,Other
109,Micromanagement is becoming a real problem.,0.325,Positive,Management
110,I enjoy the flexibility and projects I'm working on.,0.4,Positive,Other
